time cls x y yaw
7.358 9 -0.001919082088850939 1.3396103216676796 0.00028890260022039287
7.359 9 5.853413292229854 -3.3486572515002733 2.0956822697190938
7.357 9 7.532253273233557 5.537166580959282 -2.616902369316832
7.356 0 2.5746769517630455 -1.500003315164761 -1.9611195375301225e-06
7.359 8 3.781424278156177 4.992909171942639 -1.4616519755474726
7.357 3 4.0 1.5692 -1.978470000179588
7.358 7 4.814408582173664 0.5507571083717444 0.5372299934095096
7.359 6 3.0000018346226827 -0.01497808531020911 1.5245936732100027
