time cls x y yaw
1.499 9 -0.002765387763780957 4.269110199426372 0.0002888790605650294
1.499 9 3.571403323923178 -4.6700956740361255 2.0956822697178077
1.499 9 8.706067541475711 3.509175874946714 -2.616902369316677
1.499 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
1.499 2 4.48616 2.69491 -1.9784700000000017
1.498 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
1.499 5 3.0 -0.014978 0.8770609999999999
1.499 10 1.500463942727694 -4.723615635897893 -1.5860760326669119
1.499 10 2.5013655979730953 -6.4341289773863135 1.5864764962714952
1.499 12 3.7421788758309416 -2.3279693564344295 1.2757898504906473
1.499 11 1.8591335594909508 -1.536905856418236 1.524667629780507
1.499 13 2.9251134725058296 4.477548560852301 -1.152224122774301
