time cls x y yaw
6.391 9 -0.0020587655602563805 1.8231103014940813 0.00028889871803781616
6.391 9 5.476453283813548 -3.56694264279984 2.0956822697190938
6.391 9 7.725818412039914 5.202745443709676 -2.616902369316689
6.39 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
6.391 2 4.48616 2.69491 -1.9784700000000017
6.391 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
6.391 5 3.0 -0.014978 0.8770609999999999
6.391 10 1.4630912422979718 -7.169330083596037 -1.5860761850336413
6.391 10 2.4630134709766396 -3.9884296674903035 1.5864765035794697
6.391 12 4.453343705957774 0.012364078011318686 1.2757898504906473
6.391 11 1.8898981643548756 -1.0857852673688604 1.4713230781330713
6.391 13 2.920342713215945 4.545066973412599 1.2937764910731213
