time cls x y yaw
2.499 9 -0.002620947232877002 3.769110220289497 0.0002888830785281922
2.499 9 3.960824820221288 -4.444594236743683 2.095682269717807
2.499 9 8.505689550994196 3.8553675284142006 -2.616902369316679
2.499 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
2.499 2 4.48616 2.69491 -1.9784700000000017
2.499 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
2.499 5 3.0 -0.014978 0.8770609999999999
2.499 10 1.4928243878660825 -5.223557269686555 -1.5860760277102648
2.499 10 2.493525833911196 -5.934190443056496 1.5864765010727464
2.499 12 3.8875518991609277 -1.8495692267420716 1.2757898504906473
2.499 11 1.8625814151925066 -1.4622220235853316 1.5246359094184887
2.499 13 2.939094294054502 4.4885867949194305 -0.6522241206178234
