time cls x y yaw
2.299 9 -0.002649835499777091 3.8691102161168414 0.0002888822749221341
2.299 9 3.882940520961654 -4.489694524202171 2.095682269717807
2.299 9 8.545765149090508 3.7861291977207125 -2.6169023693166786
2.298 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
2.299 2 4.48616 2.69491 -1.9784700000000017
2.299 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
2.298 5 3.0 -0.014978 0.8770609999999999
2.299 10 1.4943522996208274 -5.12356894294974 -1.5860760356618557
2.299 10 2.4950937859213767 -6.034178149942055 1.5864764925949835
2.299 12 3.858477294494958 -1.9452492526801914 1.2757898504906473
2.299 11 1.861841152025401 -1.4782773787341252 1.5246449733199163
2.299 13 2.9367692741720055 4.485840254278242 -0.7522241210728108
