time cls x y yaw
8.291 9 -0.0017843081584826325 0.8731103411397975 0.00028890635387033084
8.291 9 6.216354126779438 -3.1384899119433203 2.095682269719093
8.29 9 7.345300608108493 5.860163393644459 -2.61690236931724
8.291 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
8.291 2 4.48616 2.69491 -1.9784700000000017
8.287 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
8.289 5 3.0 -0.014978 0.8770609999999999
8.29 10 1.4555089189970012 -7.4242161753389295 -1.5868824544109514
8.288 10 2.448141437971613 -3.0400462678922793 1.5864765029711339
8.291 12 4.729552450284929 0.9213243244240317 1.2757898504906473
8.291 11 1.9087766828706978 -0.8967713002850697 1.4708709767257908
8.291 13 2.888059409216674 4.538599322740411 2.24377376410347
