time cls x y yaw
7.39 9 -0.0019144596462784484 1.3236103223353977 0.00028890272882405645
7.391 9 5.865874780111385 -3.3414412055069027 2.0956822697190938
7.389 9 7.525841177538459 5.548244713870142 -2.616902369316227
7.391 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
7.39 2 4.48616 2.69491 -1.9784700000000017
7.391 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
7.39 5 3.0 -0.014978 0.8770609999999999
7.391 10 1.459098214849103 -7.424022071354553 -1.5504934138174897
7.391 10 2.455173706304997 -3.488491133182401 1.5864764996300187
7.39 12 4.598571356265144 0.4902858075728083 1.2757898504906473
7.391 11 1.8998243464103288 -0.9863021754666232 1.4710956792687802
7.391 13 2.9025379609648074 4.545552905233309 1.793775245797912
