time cls x y yaw
0.599 9 -0.0028953825239794563 4.719110180650105 0.0002888754445706795
0.599 9 3.2209239772549387 -4.873046967599353 2.095682269717836
0.599 9 8.886407732909163 3.197603386825954 -2.6169023693166533
0.599 1 5.3557600000003855 2.0121399999997522 2.2914787074579893e-19
0.599 2 4.48616 2.69491 -1.9784700000000017
0.599 4 5.783039999998881 -1.0753899999955128 0.22557199999999927
0.599 5 3.0 -0.014978 0.8770609999999999
0.599 10 1.5073395430419745 -4.273668169080075 -1.5860760356432722
0.599 10 2.5083776271063143 -6.883725248111573 1.5864230771922783
0.599 12 3.6113431527305666 -2.7585294877665163 1.2757898504905374
0.599 11 1.856280293001015 -1.5987164626709511 1.5246676366583414
0.599 13 2.9093493140426734 4.474462318527246 -1.6022238752146145
