time cls x y yaw
9.791 9 -0.0015676261385837778 0.12311037244096687 0.00028891238169543475
9.791 9 6.800486371226194 -2.800237756003855 2.095682269719093
9.79 9 7.0447336223852535 6.379450873844984 -2.6169023693175393
9.787 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
9.792 2 4.48616 2.69491 -1.9784700000000017
9.791 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
9.791 5 3.0 -0.014978 0.8770609999999999
9.79 10 1.4626307098412008 -7.422804303913702 -1.6195833199672556
9.79 10 2.436366111448191 -2.28913858936249 1.5864764959697868
9.791 12 4.947611985279027 1.6389245189600523 1.2757898504906473
9.791 11 1.9237384309176258 -0.7475530445324476 1.4705384935082488
9.79 13 2.874889732090086 4.515773720705036 2.9932718807175442
