time cls x y yaw
8.991 9 -0.0016831904449957557 0.5231103557466423 0.0002889091672244133
8.991 9 6.488949174187924 -2.9806389058381986 2.095682269719093
8.991 9 7.204835636786265 6.102843742724383 -2.6169023693124047
8.99 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
8.99 2 4.48616 2.69491 -1.9784700000000017
8.99 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
8.991 5 3.0 -0.014978 0.8770609999999999
8.991 10 1.4624537962519406 -7.423233909147277 -1.5324898358595505
8.991 10 2.442630083354197 -2.688589478281129 1.5864764928208948
8.991 12 4.831313566615508 1.2562044152074983 1.2757898504906473
8.99 11 1.915745991293948 -0.8272309136193373 1.4707593760876958
8.991 13 2.8797651815435246 4.5292013789179615 2.593772977939505
